canonical_name,common_side_effects,serious_warnings,source,risk_level
paracetamol,"Nausea, stomach upset (uncommon at normal doses)","Serious liver damage if overdosed or combined with heavy alcohol use; do not exceed the maximum daily dose",MedlinePlus,standard
amoxicillin,"Diarrhea, nausea, vomiting, skin rash","Can cause severe allergic reaction (swelling, difficulty breathing) in penicillin-allergic patients; seek immediate help if this occurs",MedlinePlus,standard
amoxicillin clavulanate,"Diarrhea, nausea, vomiting, skin rash","Can cause severe allergic reaction in penicillin-allergic patients; may cause liver enzyme changes with prolonged use",MedlinePlus,standard
ibuprofen,"Stomach upset, heartburn, dizziness, mild headache","Risk of stomach bleeding/ulcers with prolonged use; avoid in patients with kidney disease or certain heart conditions without medical advice",MedlinePlus,standard
metformin,"Diarrhea, nausea, stomach upset, metallic taste","Rare but serious risk of lactic acidosis, especially with kidney problems or heavy alcohol use",MedlinePlus,standard
atorvastatin,"Muscle aches, joint pain, mild headache, digestive upset","Rare risk of serious muscle breakdown (rhabdomyolysis); report unexplained muscle pain or weakness to your doctor",MedlinePlus,standard
omeprazole,"Headache, diarrhea, nausea, stomach pain, gas","Long-term use linked to vitamin B12 and magnesium deficiency; rare risk of bone fracture with long-term high-dose use",MedlinePlus,standard
esomeprazole,"Headache, diarrhea, nausea, stomach pain, gas","Long-term use linked to vitamin B12 and magnesium deficiency; rare risk of bone fracture with long-term high-dose use",MedlinePlus,standard
cetirizine,"Drowsiness, dry mouth, fatigue","Use caution when driving or operating machinery due to possible drowsiness",MedlinePlus,standard
salbutamol,"Tremor, headache, fast heartbeat, nervousness","Overuse may indicate worsening asthma control; seek medical review if needing more frequent doses than prescribed",MedlinePlus,standard
metronidazole,"Nausea, metallic taste, loss of appetite, headache","Avoid alcohol completely during and for 48 hours after treatment - causes severe nausea/vomiting reaction",MedlinePlus,standard
ciprofloxacin,"Nausea, diarrhea, headache, dizziness","Rare risk of tendon damage/rupture, especially in older adults; avoid strenuous exercise on the affected tendon if pain occurs",MedlinePlus,standard
diclofenac,"Stomach upset, heartburn, headache","Increased risk of stomach bleeding and cardiovascular events with prolonged use",MedlinePlus,standard
amlodipine,"Swelling of ankles/feet, flushing, headache, dizziness","Avoid stopping abruptly; can cause low blood pressure symptoms (dizziness, fainting) especially when standing up quickly",MedlinePlus,standard
losartan,"Dizziness, fatigue, mild cough","Avoid in pregnancy; monitor potassium levels with prolonged use",MedlinePlus,standard
azithromycin,"Diarrhea, nausea, abdominal pain","Rare risk of heart rhythm changes; inform doctor of any existing heart conditions",MedlinePlus,standard
pantoprazole,"Headache, diarrhea, nausea, stomach pain","Long-term use linked to vitamin B12 and magnesium deficiency; rare risk of bone fracture with long-term high-dose use",MedlinePlus,standard
enalapril,"Dry cough, dizziness, headache, fatigue","Avoid in pregnancy; can cause dangerously high potassium levels with certain other medicines",MedlinePlus,standard
aspirin,"Stomach upset, heartburn","Increases bleeding risk; avoid before surgery or dental work without medical advice; not for children with viral infections (Reye's syndrome risk)",MedlinePlus,standard
cefalexin,"Diarrhea, nausea, stomach upset","Can cause allergic reaction in penicillin-allergic patients; seek help if rash, swelling, or breathing difficulty occurs",MedlinePlus,standard
doxycycline,"Nausea, stomach upset, sun sensitivity","Avoid prolonged sun exposure; can permanently discolor developing teeth in children under 8 and during pregnancy",MedlinePlus,standard
prednisolone,"Increased appetite, mood changes, insomnia, indigestion","Do not stop abruptly after prolonged use; can mask signs of infection; monitor blood sugar with long-term use",MedlinePlus,standard
ranitidine,"Headache, constipation, diarrhea","Inform doctor if you have kidney problems, as dose adjustment may be needed",MedlinePlus,standard
cotrimoxazole,"Nausea, vomiting, loss of appetite, skin rash","Can cause severe allergic skin reactions; seek immediate help for rash with blistering or peeling",MedlinePlus,standard
clotrimazole,"Mild burning, itching, or irritation at application site (topical use)","Discontinue and consult doctor if irritation worsens",MedlinePlus,standard
folic acid,"Generally well tolerated; rare nausea or bloating","Inform doctor before use if undiagnosed anemia is present, as it can mask vitamin B12 deficiency",MedlinePlus,standard
calcium carbonate,"Constipation, gas, bloating","Avoid taking with certain antibiotics or thyroid medication; space doses apart as advised by pharmacist",MedlinePlus,standard
vitamin d,"Generally well tolerated at recommended doses","Excessive long-term use can cause high calcium levels; follow recommended dosing",MedlinePlus,standard
vitamin c,"Stomach upset, diarrhea at high doses","Very high doses over long periods may increase risk of kidney stones in susceptible individuals",MedlinePlus,standard
zinc,"Nausea, stomach upset","Long-term high-dose use can interfere with copper absorption",MedlinePlus,standard
multivitamin,"Generally well tolerated; mild stomach upset possible","Avoid exceeding recommended dose; some formulations contain iron which is dangerous in overdose, especially for children",MedlinePlus,standard
insulin glargine,"Low blood sugar (hypoglycemia), weight gain, injection site reactions","Monitor blood sugar regularly; know the signs of hypoglycemia (shakiness, sweating, confusion) and how to treat it",MedlinePlus,high
insulin regular,"Low blood sugar (hypoglycemia), weight gain, injection site reactions","Monitor blood sugar regularly; know the signs of hypoglycemia and how to treat it",MedlinePlus,high
